,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings,target
158,0.43,0.315,0.095,0.37799999999999995,0.175,0.08,0.1045,8.0,2
159,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,11.0,0
160,0.46,0.37,0.12,0.5335,0.2645,0.10800000000000001,0.1345,6.0,2
161,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,13.0,0
162,0.53,0.41,0.125,0.769,0.34600000000000003,0.17300000000000001,0.215,9.0,0
163,0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,5.0,2
164,0.65,0.515,0.175,1.466,0.677,0.3045,0.4,10.0,0
165,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,10.0,0
166,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6.0,2
167,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,11.0,2
168,0.585,0.415,0.155,0.6985,0.3,0.146,0.195,12.0,1
169,0.575,0.45,0.17,0.9315,0.358,0.2145,0.26,13.0,2
170,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,10.0,0
171,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11.0,0
172,0.48,0.365,0.12,0.6015,0.312,0.11699999999999999,0.14,7.0,0
173,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26.0,0
174,0.28,0.21,0.08,0.1085,0.040999999999999995,0.0265,0.0345,7.0,0
175,0.465,0.38,0.135,0.579,0.20800000000000002,0.1095,0.22,14.0,1
176,0.335,0.22,0.07,0.17,0.076,0.0365,0.05,6.0,1
177,0.425,0.32,0.1,0.3055,0.126,0.06,0.106,7.0,2
178,0.425,0.325,0.135,0.382,0.1465,0.079,0.14,12.0,1
179,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11.0,0
180,0.7,0.545,0.13,1.556,0.6725,0.374,0.195,12.0,1
181,0.56,0.425,0.135,0.8205,0.3715,0.185,0.23600000000000002,9.0,2
182,0.385,0.29,0.1,0.2575,0.1,0.061,0.086,6.0,2
183,0.57,0.42,0.155,1.008,0.377,0.193,0.34,13.0,0
184,0.47,0.375,0.105,0.441,0.16699999999999998,0.0865,0.145,10.0,2
185,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5.0,2
186,0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,9.0,0
187,0.415,0.325,0.1,0.313,0.139,0.0625,0.0965,7.0,2
188,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,10.0,2
189,0.575,0.44,0.145,0.87,0.3945,0.2195,0.225,8.0,0
190,0.495,0.375,0.155,0.976,0.45,0.2285,0.2475,9.0,0
191,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,12.0,0
192,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,11.0,1
193,0.67,0.51,0.175,1.5265,0.6509999999999999,0.4475,0.345,10.0,0
194,0.215,0.15,0.055,0.040999999999999995,0.015,0.009000000000000001,0.0125,3.0,2
195,0.565,0.445,0.125,0.8305,0.3135,0.1785,0.23,11.0,1
196,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7.0,2
197,0.615,0.47,0.15,1.0875,0.4975,0.28300000000000003,0.2685,9.0,0
198,0.61,0.45,0.15,0.871,0.40700000000000003,0.1835,0.25,10.0,0
199,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,7.0,2
200,0.7,0.575,0.2,1.7365,0.7755,0.3965,0.461,11.0,1
201,0.445,0.345,0.14,0.47600000000000003,0.2055,0.1015,0.1085,15.0,0
202,0.295,0.215,0.085,0.128,0.049,0.034,0.04,6.0,2
203,0.485,0.37,0.115,0.637,0.38,0.1335,0.128,7.0,2
204,0.5,0.37,0.12,0.5445,0.249,0.1065,0.152,8.0,2
205,0.7,0.565,0.18,1.751,0.895,0.3355,0.446,9.0,0
206,0.605,0.49,0.165,1.071,0.48200000000000004,0.1935,0.35200000000000004,10.0,2
207,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,10.0,0
208,0.57,0.43,0.12,1.0615,0.348,0.16699999999999998,0.31,15.0,0
209,0.475,0.37,0.125,0.537,0.222,0.1215,0.15,9.0,0
210,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10.0,0
211,0.68,0.54,0.19,1.6230000000000002,0.7165,0.354,0.4715,12.0,0
212,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8.0,2
213,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9.0,1
214,0.52,0.4,0.12,0.58,0.23399999999999999,0.1315,0.185,8.0,0
215,0.605,0.475,0.18,0.9365,0.39399999999999996,0.21899999999999997,0.295,15.0,0
216,0.575,0.44,0.16,0.9615,0.483,0.166,0.275,13.0,0
217,0.655,0.515,0.145,1.25,0.5265,0.28300000000000003,0.315,15.0,2
218,0.565,0.465,0.15,1.1815,0.581,0.2215,0.3095,9.0,2
219,0.42,0.34,0.115,0.4215,0.175,0.09300000000000001,0.135,8.0,0
220,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10.0,1
221,0.575,0.47,0.165,0.8690000000000001,0.435,0.19699999999999998,0.23800000000000002,9.0,1
222,0.49,0.38,0.13,0.539,0.22899999999999998,0.1355,0.165,12.0,1
223,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5.0,2
224,0.485,0.365,0.09,0.6509999999999999,0.3165,0.132,0.18,8.0,2
225,0.55,0.405,0.15,0.9235,0.41200000000000003,0.2135,0.24,7.0,0
226,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4.0,2
227,0.6,0.46,0.17,1.1805,0.456,0.337,0.32899999999999996,11.0,0
228,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,10.0,0
229,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,10.0,0
230,0.645,0.525,0.17,1.37,0.6135,0.28300000000000003,0.34,10.0,1
231,0.565,0.44,0.185,0.909,0.344,0.2325,0.255,15.0,0
232,0.575,0.45,0.135,0.8285,0.36200000000000004,0.1655,0.23600000000000002,10.0,1
233,0.63,0.495,0.16,1.093,0.49700000000000005,0.221,0.315,12.0,0
234,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,15.0,1
235,0.605,0.47,0.155,0.9740000000000001,0.39299999999999996,0.22399999999999998,0.3345,9.0,1
236,0.475,0.355,0.115,0.5195,0.27899999999999997,0.08800000000000001,0.1325,7.0,2
237,0.595,0.475,0.16,1.3175,0.408,0.23399999999999999,0.58,21.0,0
238,0.55,0.42,0.13,0.636,0.294,0.14400000000000002,0.1755,8.0,2
239,0.37,0.29,0.08,0.2545,0.10800000000000001,0.0565,0.07,6.0,2
240,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7.0,2
241,0.7,0.565,0.175,1.8565,0.8445,0.3935,0.54,10.0,0
242,0.64,0.565,0.23,1.521,0.644,0.37200000000000005,0.406,15.0,0
243,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265,12.0,1
244,0.47,0.375,0.125,0.5225,0.2265,0.10400000000000001,0.162,8.0,2
245,0.65,0.52,0.155,1.368,0.6185,0.28800000000000003,0.365,9.0,0
246,0.52,0.375,0.135,0.5375,0.221,0.11699999999999999,0.17,8.0,1
247,0.59,0.485,0.12,0.9109999999999999,0.39,0.182,0.29,16.0,0
248,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32,12.0,1
249,0.51,0.38,0.135,0.6809999999999999,0.3435,0.142,0.17,9.0,0
250,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,15.0,2
251,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7.0,2
252,0.505,0.385,0.125,0.596,0.245,0.09699999999999999,0.21,9.0,2
253,0.665,0.515,0.2,1.2695,0.5115,0.2675,0.436,12.0,0
254,0.665,0.5,0.17,1.2975,0.6035,0.29100000000000004,0.3595,9.0,2
255,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,8.0,2
256,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,9.0,1
257,0.675,0.51,0.17,1.527,0.809,0.318,0.341,11.0,0
258,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11.0,2
259,0.535,0.42,0.125,0.764,0.312,0.1505,0.265,11.0,0
260,0.46,0.335,0.11,0.444,0.225,0.0745,0.11,8.0,2
261,0.66,0.525,0.215,1.786,0.6725,0.3615,0.4065,11.0,2
262,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,10.0,1
263,0.475,0.365,0.115,0.5660000000000001,0.281,0.11699999999999999,0.1335,7.0,1
264,0.38,0.32,0.115,0.6475,0.32299999999999995,0.1325,0.16399999999999998,7.0,1
265,0.515,0.4,0.14,0.6335,0.28800000000000003,0.145,0.168,9.0,0
266,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,9.0,0
267,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,8.0,0
268,0.53,0.415,0.16,0.7829999999999999,0.2935,0.158,0.245,15.0,1
269,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081,10.0,0
270,0.735,0.565,0.225,2.037,0.87,0.5145,0.5675,13.0,1
271,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,14.0,0
272,0.425,0.34,0.105,0.389,0.2015,0.0905,0.08800000000000001,6.0,2
273,0.61,0.475,0.175,1.024,0.409,0.261,0.322,9.0,0
274,0.66,0.5,0.175,1.3275,0.556,0.2805,0.4085,9.0,1
275,0.665,0.555,0.195,1.4385,0.581,0.354,0.36,17.0,1
276,0.37,0.27,0.09,0.1855,0.07,0.0425,0.065,7.0,2
277,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,10.0,1
278,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,10.0,0
279,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10.0,1
280,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,19.0,1
281,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9.0,1
282,0.72,0.575,0.18,1.6705,0.732,0.3605,0.501,12.0,1
283,0.38,0.29,0.12,0.28300000000000003,0.1175,0.0655,0.085,9.0,0
284,0.695,0.56,0.185,1.7715,0.8195,0.331,0.43700000000000006,10.0,1
285,0.495,0.375,0.15,0.597,0.2615,0.135,0.17800000000000002,11.0,1
286,0.42,0.34,0.125,0.4495,0.165,0.1125,0.14400000000000002,11.0,0
287,0.615,0.475,0.175,1.194,0.5589999999999999,0.259,0.3165,11.0,1
288,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,8.0,0
289,0.37,0.29,0.09,0.24100000000000002,0.11,0.045,0.069,10.0,0
290,0.59,0.455,0.155,1.0659999999999998,0.382,0.2275,0.415,20.0,1
291,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4.0,2
292,0.505,0.355,0.125,0.601,0.25,0.1205,0.185,8.0,2
293,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,8.0,2
294,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,8.0,1
295,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12.0,1
296,0.55,0.45,0.13,0.92,0.37799999999999995,0.2385,0.29,11.0,0
297,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10.0,1
298,0.53,0.41,0.165,0.732,0.18899999999999997,0.17,0.31,11.0,0
299,0.32,0.215,0.095,0.305,0.14,0.067,0.0885,6.0,2
300,0.45,0.35,0.13,0.4655,0.2075,0.1045,0.135,8.0,0
301,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,8.0,0
302,0.46,0.355,0.14,0.491,0.207,0.115,0.174,10.0,0
303,0.46,0.35,0.11,0.4,0.17600000000000002,0.083,0.1205,7.0,2
304,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575,10.0,1
305,0.485,0.4,0.155,0.731,0.23600000000000002,0.183,0.255,11.0,1
306,0.5,0.385,0.145,0.7615,0.24600000000000002,0.195,0.204,14.0,0
307,0.335,0.26,0.09,0.1835,0.078,0.024,0.065,11.0,2
308,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7.0,2
309,0.585,0.47,0.17,0.985,0.3695,0.2395,0.315,10.0,2
310,0.39,0.29,0.125,0.3055,0.121,0.08199999999999999,0.09,7.0,1
311,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18.0,1
312,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12.0,0
313,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9.0,1
314,0.56,0.44,0.155,0.9705,0.4315,0.263,0.255,9.0,1
315,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,7.0,2
316,0.65,0.535,0.175,1.2895,0.6095,0.2765,0.344,10.0,1
317,0.55,0.42,0.17,0.8465,0.336,0.2405,0.245,13.0,0
318,0.56,0.455,0.125,0.943,0.344,0.129,0.375,21.0,1
319,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,15.0,2
320,0.605,0.495,0.145,1.054,0.369,0.2255,0.36,12.0,2
321,0.68,0.53,0.18,1.5290000000000001,0.7635,0.3115,0.4025,11.0,0
322,0.58,0.44,0.16,0.8295,0.3365,0.2005,0.2485,9.0,0
323,0.56,0.43,0.145,0.8995,0.46399999999999997,0.1775,0.23399999999999999,9.0,0
324,0.72,0.545,0.185,1.7185,0.7925,0.401,0.46799999999999997,11.0,1
325,0.235,0.13,0.075,0.1585,0.0685,0.037000000000000005,0.0465,5.0,2
326,0.48,0.375,0.115,0.6765,0.3205,0.1065,0.17,6.0,0
327,0.53,0.405,0.15,0.8315,0.35200000000000004,0.187,0.2525,10.0,0
328,0.555,0.455,0.18,0.958,0.29600000000000004,0.195,0.39,14.0,1
329,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075,6.0,2
330,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,6.0,2
331,0.65,0.5,0.17,1.4045,0.6940000000000001,0.318,0.3235,11.0,1
332,0.46,0.34,0.135,0.495,0.1655,0.11699999999999999,0.185,10.0,0
333,0.41,0.335,0.105,0.3305,0.1405,0.064,0.105,7.0,2
334,0.5,0.375,0.14,0.604,0.242,0.1415,0.179,15.0,1
335,0.57,0.445,0.145,0.8775,0.41200000000000003,0.217,0.22,8.0,1
336,0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147,8.0,2
337,0.72,0.55,0.18,1.52,0.637,0.325,0.435,10.0,1
338,0.63,0.505,0.165,1.065,0.4595,0.21600000000000003,0.315,12.0,1
339,0.75,0.55,0.18,1.893,0.9420000000000001,0.397,0.445,11.0,0
340,0.62,0.485,0.18,1.1540000000000001,0.4935,0.256,0.315,12.0,2
341,0.695,0.525,0.175,1.742,0.696,0.389,0.505,12.0,0
342,0.57,0.445,0.15,0.995,0.504,0.185,0.2505,9.0,1
343,0.53,0.42,0.135,0.675,0.294,0.156,0.1825,10.0,0
344,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,8.0,1
345,0.585,0.435,0.175,0.982,0.4055,0.2495,0.27,10.0,1
346,0.59,0.45,0.125,0.86,0.43700000000000006,0.1515,0.245,9.0,2
347,0.46,0.345,0.115,0.4215,0.1895,0.102,0.111,6.0,2
